num,Name,Year
543,Jack,1998
743,Jack,1999
846,Jack,2000
930,Jack,2001
868,Jack,2002
800,Jack,2003
835,Jack,2004
931,Jack,2005
987,Jack,2006
1073,Jack,2007
1151,Jack,2008
1061,Jack,2009
914,Jack,2010
840,Jack,2011
831,Jack,2012
764,Jack,2013
786,Jack,2014
752,Jack,2015
684,Jack,2016
685,Jack,2017
472,James,1998
629,James,1999
594,James,2000
613,James,2001
581,James,2002
626,James,2003
688,James,2004
699,James,2005
678,James,2006
713,James,2007
737,James,2008
705,James,2009
733,James,2010
796,James,2011
773,James,2012
746,James,2013
695,James,2014
697,James,2015
688,James,2016
619,James,2017
428,Daniel,1998
479,Daniel,1999
467,Daniel,2000
475,Daniel,2001
559,Daniel,2002
617,Daniel,2003
630,Daniel,2004
654,Daniel,2005
636,Daniel,2006
725,Daniel,2007
828,Daniel,2008
832,Daniel,2009
784,Daniel,2010
711,Daniel,2011
683,Daniel,2012
678,Daniel,2013
638,Daniel,2014
617,Daniel,2015
558,Daniel,2016
536,Daniel,2017
761,Conor,1998
761,Conor,1999
700,Conor,2000
702,Conor,2001
748,Conor,2002
705,Conor,2003
736,Conor,2004
705,Conor,2005
731,Conor,2006
821,Conor,2007
857,Conor,2008
775,Conor,2009
714,Conor,2010
709,Conor,2011
639,Conor,2012
610,Conor,2013
581,Conor,2014
558,Conor,2015
558,Conor,2016
472,Conor,2017
662,Sean,1998
760,Sean,1999
816,Sean,2000
867,Sean,2001
866,Sean,2002
897,Sean,2003
928,Sean,2004
893,Sean,2005
994,Sean,2006
965,Sean,2007
970,Sean,2008
927,Sean,2009
812,Sean,2010
755,Sean,2011
677,Sean,2012
609,Sean,2013
526,Sean,2014
530,Sean,2015
501,Sean,2016
453,Sean,2017
460,Adam,1998
588,Adam,1999
653,Adam,2000
833,Adam,2001
798,Adam,2002
787,Adam,2003
688,Adam,2004
710,Adam,2005
693,Adam,2006
659,Adam,2007
645,Adam,2008
611,Adam,2009
568,Adam,2010
637,Adam,2011
558,Adam,2012
518,Adam,2013
493,Adam,2014
449,Adam,2015
400,Adam,2016
389,Adam,2017
326,Ryan,1998
418,Ryan,1999
356,Ryan,2000
349,Ryan,2001
365,Ryan,2002
425,Ryan,2003
451,Ryan,2004
432,Ryan,2005
431,Ryan,2006
553,Ryan,2007
670,Ryan,2008
633,Ryan,2009
662,Ryan,2010
685,Ryan,2011
510,Ryan,2012
459,Ryan,2013
373,Ryan,2014
329,Ryan,2015
318,Ryan,2016
260,Ryan,2017
438,Michael,1998
527,Michael,1999
483,Michael,2000
483,Michael,2001
520,Michael,2002
525,Michael,2003
527,Michael,2004
484,Michael,2005
509,Michael,2006
521,Michael,2007
483,Michael,2008
499,Michael,2009
455,Michael,2010
496,Michael,2011
462,Michael,2012
432,Michael,2013
379,Michael,2014
434,Michael,2015
394,Michael,2016
359,Michael,2017
42,Harry,1998
86,Harry,1999
95,Harry,2000
115,Harry,2001
98,Harry,2002
118,Harry,2003
137,Harry,2004
150,Harry,2005
193,Harry,2006
251,Harry,2007
276,Harry,2008
302,Harry,2009
359,Harry,2010
499,Harry,2011
510,Harry,2012
430,Harry,2013
398,Harry,2014
358,Harry,2015
374,Harry,2016
410,Harry,2017
0,Noah,1998
9,Noah,1999
7,Noah,2000
18,Noah,2001
26,Noah,2002
33,Noah,2003
83,Noah,2004
123,Noah,2005
158,Noah,2006
163,Noah,2007
181,Noah,2008
210,Noah,2009
313,Noah,2010
333,Noah,2011
390,Noah,2012
418,Noah,2013
434,Noah,2014
438,Noah,2015
446,Noah,2016
442,Noah,2017
306,Thomas,1998
332,Thomas,1999
351,Thomas,2000
377,Thomas,2001
349,Thomas,2002
375,Thomas,2003
371,Thomas,2004
397,Thomas,2005
432,Thomas,2006
440,Thomas,2007
432,Thomas,2008
408,Thomas,2009
341,Thomas,2010
403,Thomas,2011
403,Thomas,2012
412,Thomas,2013
362,Thomas,2014
379,Thomas,2015
328,Thomas,2016
291,Thomas,2017
93,Alex,1998
112,Alex,1999
150,Alex,2000
160,Alex,2001
193,Alex,2002
268,Alex,2003
322,Alex,2004
336,Alex,2005
367,Alex,2006
401,Alex,2007
501,Alex,2008
496,Alex,2009
540,Alex,2010
492,Alex,2011
392,Alex,2012
406,Alex,2013
383,Alex,2014
361,Alex,2015
320,Alex,2016
347,Alex,2017
327,Luke,1998
410,Luke,1999
488,Luke,2000
517,Luke,2001
489,Luke,2002
474,Luke,2003
544,Luke,2004
544,Luke,2005
536,Luke,2006
