num,Name,Year,Statistic
3,Jack,1998,Rank of Name in Ireland  (Number)
543,Jack,1998,Registered Births in Ireland (Number)
3,Jack,1999,Rank of Name in Ireland  (Number)
743,Jack,1999,Registered Births in Ireland (Number)
1,Jack,2000,Rank of Name in Ireland  (Number)
846,Jack,2000,Registered Births in Ireland (Number)
1,Jack,2001,Rank of Name in Ireland  (Number)
930,Jack,2001,Registered Births in Ireland (Number)
1,Jack,2002,Rank of Name in Ireland  (Number)
868,Jack,2002,Registered Births in Ireland (Number)
2,Jack,2003,Rank of Name in Ireland  (Number)
800,Jack,2003,Registered Births in Ireland (Number)
2,Jack,2004,Rank of Name in Ireland  (Number)
835,Jack,2004,Registered Births in Ireland (Number)
1,Jack,2005,Rank of Name in Ireland  (Number)
931,Jack,2005,Registered Births in Ireland (Number)
2,Jack,2006,Rank of Name in Ireland  (Number)
987,Jack,2006,Registered Births in Ireland (Number)
1,Jack,2007,Rank of Name in Ireland  (Number)
1073,Jack,2007,Registered Births in Ireland (Number)
1,Jack,2008,Rank of Name in Ireland  (Number)
1151,Jack,2008,Registered Births in Ireland (Number)
1,Jack,2009,Rank of Name in Ireland  (Number)
1061,Jack,2009,Registered Births in Ireland (Number)
1,Jack,2010,Rank of Name in Ireland  (Number)
914,Jack,2010,Registered Births in Ireland (Number)
1,Jack,2011,Rank of Name in Ireland  (Number)
840,Jack,2011,Registered Births in Ireland (Number)
1,Jack,2012,Rank of Name in Ireland  (Number)
831,Jack,2012,Registered Births in Ireland (Number)
1,Jack,2013,Rank of Name in Ireland  (Number)
764,Jack,2013,Registered Births in Ireland (Number)
1,Jack,2014,Rank of Name in Ireland  (Number)
786,Jack,2014,Registered Births in Ireland (Number)
1,Jack,2015,Rank of Name in Ireland  (Number)
752,Jack,2015,Registered Births in Ireland (Number)
2,Jack,2016,Rank of Name in Ireland  (Number)
684,Jack,2016,Registered Births in Ireland (Number)
1,Jack,2017,Rank of Name in Ireland  (Number)
685,Jack,2017,Registered Births in Ireland (Number)
4,James,1998,Rank of Name in Ireland  (Number)
472,James,1998,Registered Births in Ireland (Number)
4,James,1999,Rank of Name in Ireland  (Number)
629,James,1999,Registered Births in Ireland (Number)
5,James,2000,Rank of Name in Ireland  (Number)
594,James,2000,Registered Births in Ireland (Number)
5,James,2001,Rank of Name in Ireland  (Number)
613,James,2001,Registered Births in Ireland (Number)
5,James,2002,Rank of Name in Ireland  (Number)
581,James,2002,Registered Births in Ireland (Number)
5,James,2003,Rank of Name in Ireland  (Number)
626,James,2003,Registered Births in Ireland (Number)
4,James,2004,Rank of Name in Ireland  (Number)
688,James,2004,Registered Births in Ireland (Number)
5,James,2005,Rank of Name in Ireland  (Number)
699,James,2005,Registered Births in Ireland (Number)
5,James,2006,Rank of Name in Ireland  (Number)
678,James,2006,Registered Births in Ireland (Number)
5,James,2007,Rank of Name in Ireland  (Number)
713,James,2007,Registered Births in Ireland (Number)
5,James,2008,Rank of Name in Ireland  (Number)
737,James,2008,Registered Births in Ireland (Number)
5,James,2009,Rank of Name in Ireland  (Number)
705,James,2009,Registered Births in Ireland (Number)
4,James,2010,Rank of Name in Ireland  (Number)
733,James,2010,Registered Births in Ireland (Number)
2,James,2011,Rank of Name in Ireland  (Number)
796,James,2011,Registered Births in Ireland (Number)
2,James,2012,Rank of Name in Ireland  (Number)
773,James,2012,Registered Births in Ireland (Number)
2,James,2013,Rank of Name in Ireland  (Number)
746,James,2013,Registered Births in Ireland (Number)
2,James,2014,Rank of Name in Ireland  (Number)
695,James,2014,Registered Births in Ireland (Number)
2,James,2015,Rank of Name in Ireland  (Number)
697,James,2015,Registered Births in Ireland (Number)
1,James,2016,Rank of Name in Ireland  (Number)
688,James,2016,Registered Births in Ireland (Number)
2,James,2017,Rank of Name in Ireland  (Number)
619,James,2017,Registered Births in Ireland (Number)
10,Daniel,1998,Rank of Name in Ireland  (Number)
428,Daniel,1998,Registered Births in Ireland (Number)
9,Daniel,1999,Rank of Name in Ireland  (Number)
479,Daniel,1999,Registered Births in Ireland (Number)
11,Daniel,2000,Rank of Name in Ireland  (Number)
467,Daniel,2000,Registered Births in Ireland (Number)
11,Daniel,2001,Rank of Name in Ireland  (Number)
475,Daniel,2001,Registered Births in Ireland (Number)
6,Daniel,2002,Rank of Name in Ireland  (Number)
559,Daniel,2002,Registered Births in Ireland (Number)
6,Daniel,2003,Rank of Name in Ireland  (Number)
617,Daniel,2003,Registered Births in Ireland (Number)
6,Daniel,2004,Rank of Name in Ireland  (Number)
630,Daniel,2004,Registered Births in Ireland (Number)
6,Daniel,2005,Rank of Name in Ireland  (Number)
654,Daniel,2005,Registered Births in Ireland (Number)
6,Daniel,2006,Rank of Name in Ireland  (Number)
636,Daniel,2006,Registered Births in Ireland (Number)
4,Daniel,2007,Rank of Name in Ireland  (Number)
725,Daniel,2007,Registered Births in Ireland (Number)
4,Daniel,2008,Rank of Name in Ireland  (Number)
828,Daniel,2008,Registered Births in Ireland (Number)
3,Daniel,2009,Rank of Name in Ireland  (Number)
832,Daniel,2009,Registered Births in Ireland (Number)
3,Daniel,2010,Rank of Name in Ireland  (Number)
