num,Name,Year
25,Emily,1998
178,Emily,1998
14,Emily,1999
285,Emily,1999
19,Emily,2000
262,Emily,2000
18,Emily,2001
287,Emily,2001
19,Emily,2002
278,Emily,2002
20,Emily,2003
273,Emily,2003
13,Emily,2004
346,Emily,2004
11,Emily,2005
385,Emily,2005
11,Emily,2006
396,Emily,2006
8,Emily,2007
475,Emily,2007
5,Emily,2008
599,Emily,2008
7,Emily,2009
500,Emily,2009
2,Emily,2010
605,Emily,2010
1,Emily,2011
596,Emily,2011
1,Emily,2012
626,Emily,2012
1,Emily,2013
625,Emily,2013
1,Emily,2014
619,Emily,2014
1,Emily,2015
626,Emily,2015
1,Emily,2016
490,Emily,2016
1,Emily,2017
459,Emily,2017
5,Emma,1998
514,Emma,1998
6,Emma,1999
549,Emma,1999
4,Emma,2000
594,Emma,2000
3,Emma,2001
592,Emma,2001
4,Emma,2002
532,Emma,2002
1,Emma,2003
791,Emma,2003
1,Emma,2004
787,Emma,2004
1,Emma,2005
703,Emma,2005
2,Emma,2006
593,Emma,2006
2,Emma,2007
632,Emma,2007
4,Emma,2008
637,Emma,2008
3,Emma,2009
627,Emma,2009
3,Emma,2010
571,Emma,2010
3,Emma,2011
562,Emma,2011
3,Emma,2012
497,Emma,2012
2,Emma,2013
499,Emma,2013
3,Emma,2014
441,Emma,2014
2,Emma,2015
449,Emma,2015
7,Emma,2016
365,Emma,2016
2,Emma,2017
393,Emma,2017
17,Sophie,1998
242,Sophie,1998
18,Sophie,1999
252,Sophie,1999
17,Sophie,2000
266,Sophie,2000
16,Sophie,2001
303,Sophie,2001
9,Sophie,2002
404,Sophie,2002
6,Sophie,2003
432,Sophie,2003
7,Sophie,2004
468,Sophie,2004
7,Sophie,2005
451,Sophie,2005
5,Sophie,2006
497,Sophie,2006
5,Sophie,2007
556,Sophie,2007
6,Sophie,2008
582,Sophie,2008
1,Sophie,2009
640,Sophie,2009
1,Sophie,2010
608,Sophie,2010
2,Sophie,2011
582,Sophie,2011
2,Sophie,2012
577,Sophie,2012
3,Sophie,2013
497,Sophie,2013
2,Sophie,2014
468,Sophie,2014
4,Sophie,2015
407,Sophie,2015
5,Sophie,2016
369,Sophie,2016
5,Sophie,2017
364,Sophie,2017
94,Ella,1998
39,Ella,1998
76,Ella,1999
60,Ella,1999
65,Ella,2000
75,Ella,2000
48,Ella,2001
112,Ella,2001
28,Ella,2002
204,Ella,2002
14,Ella,2003
327,Ella,2003
11,Ella,2004
381,Ella,2004
10,Ella,2005
405,Ella,2005
8,Ella,2006
447,Ella,2006
3,Ella,2007
601,Ella,2007
