ADA,109169
ADELA,49031
ADELE,50259
ADELHEID,18520
ADELINA,28627
ADINA,8961
ADISA,2859
ADOLFINE,2182
ADRIANA,177847
ADRIENN,1265
AGATA,16362
AGNES,310513
AGNIESZKA,24940
AIDA,45451
AYSE,44047
AISHA,29486
AJLA,8460
ALAA,2956
ALBINA,36575
ALENA,20081
ALESSANDRA,27179
ALESSIA,26889
ALEKSA,909
ALEXANDRA,516531
ALEYNA,10550
ALIA,17466
ALICE,935348
ALICJA,7863
ALINA,80780
ALINE,193030
ALISA,46994
ALISSA,42939
ALLA,4403
ALMA,215892
ALMIRA,7148
ALOISIA,7973
ALIJA,1009
AMAL,27955
AMALIA,51645
AMANDA,872427
AMANI,11113
AMELA,9275
AMELIA,188331
AMELIE,26542
AMILA,1313
AMINA,77095
AMINAT,1024
AMINE,1182
AMIRA,37300
AMRA,7230
ANA-MARIA,4102
ANNABELLA,10858
ANAMARIA,4674
ANASTASIA,72934
ANASTASIIA,2088
ANDA,1827
ANDELA,1601
ANDJELINA,887
ANDJELA,3057
ANDREA,730291
ANDRIJANA,3556
ANELA,4646
ANETA,10473
ANNETTE,262803
ANGELA,949233
ANGELIKA,38087
ANGELINA,173083
ANICA,90148
ANIKÓ,739
ANISA,10986
ANITA,516714
ANJA,248753
ANKA,15931
ANKICA,6747
ANNA,1698545
ANNA-KATHARINA,590
ANNA-MARIA,13414
ANNABELLE,68422
ANNA-LENA,1340
ANNE,1258136
ANNELIES,96529
ANNELIESE,20187
ANNEMARIE,38220
ANNIKA,46302
ANNI,18311
ANTONELLA,18192
ANTONIA,291652
ARIANE,47774
ARIANA,87292
ARIFE,4640
ARZU,6451
ASIYE,3351
ASLI,3912
ASMA,23881
ASMAA,8733
AZRA,20774
ASTRID,149352
ASYA,9427
AUGUSTE,3595
AUGUSTINE,46149
AURELIA,46473
AURORA,116892
AVA,189897
AYA,53382
AYFER,2591
AYLA,20935
EILEEN,188966
AYLIN,22314
AYNUR,6396
AYSEGÜL,3410
AYSEL,7546
AYSENUR,1163
AYSUN,3207
AYTEN,5220
BAHAR,5796
BARBARA,1805132
BARBORA,941
BEATA,16226
BEATE,15544
BEATRICE,233466
BEATRIX,28558
BELINDA,93932
BERFIN,2203
BERNADETTE,352266
BERTA,44185
BETTINA,54620
BETÜL,5778
BEYZA,6973
BEÁTA,472
BIANCA,130216
BIBI,2330
BILJANA,19509
BIRGIT,69591
BISERKA,12162
BLANKA,15450
BOGUSLAWA,1399
BOJANA,41207
BORKA,4138
BOSILJKA,4205
BOZENA,7155
BOZICA,1196
BRANKA,48459
BRANISLAVA,3149
BRANKICA,3682
BRIGITTA,42555
BRIGITTE,537458
BRITTA,13086
BRUNHILDE,2831
BURCU,2709
BÜSRA,4876
CAMILLA,66354
CANAN,4314
CANSU,3786
CARLA,308591
CARMEN,620940
CAROLA,9582
CAROLIN,4980
KAROLINA,50706
CAROLINE,681133
CATERINA,17893
CATHERINE,1286279
CECILIA,157356
CELINA,45530
CELINE,40984
CEMILE,4857
CEREN,2226
CHANTAL,527169
CHARLOTTE,735252
CHIARA,51763
CHRISTA,106978
CHRISTL,4384
KRISTIN,209935
CHRISTINA,628110
CHRISTINE,1402476
CINDY,516635
CLAIRE,427595
CLARA,545527
CLARISSA,40566
CLAUDIA,409554
CONSTANZE,4371
CORDULA,2100
CORINNA,17044
COSIMA,1039
CSILLA,1218
DAGMAR,24233
DAJANA,5887
DALIA,20174
DALIBORKA,4215
DAMLA,3710
DANA,209217
DANICA,95070
DANIELA,245160
DANUTA,8460
DARIA,22457
DARINA,2080
DARINKA,60807
DEBORAH,822229
DEFNE,1622
DEJANA,2439
DEMET,1405
DENISA,8989
DENISE,865631
DENIS,3593
DERYA,10465
DESANKA,4895
DESIREE,101539
DIANA,511532
DIETLINDE,1173
DILAN,2428
DILARA,12768
DILEK,8928
DINA,82498
DIVNA,2059
DOBRILA,3451
DOMINIKA,10054
DOMINIQUE,411269
DORA,131595
DORINA,5328
DORIS,545908
DOROTA,10454
DOROTHEA,49355
DORIT,2007
DRAGA,7542
DRAGANA,26100
DRAGICA,98268
DRAGINJA,2510
DUNJA,10077
DUSANKA,2834
DUSICA,2117
DUYGU,3453
DUŠANKA,1530
DUŠICA,1578
DÓRA,592
DÖNDÜ,5153
EBRU,8967
ECRIN,2899
EDA,14422
EDDA,6001
EDELTRAUD,11821
EDELTRAUDE,1222
EDELTRAUT,434
EDELTRUDE,213
EDINA,9633
EDITA,15349
EDITH,443951
EDYTA,4870
EKATERINA,9897
ELA,25989
ELANUR,1374
ELENA,358315
ELENI,11853
ELEONORA,18284
ELEONORE,28584
ELFRIEDA,3009
ELFRIEDE,85688
ELHAM,1549
ELIF,31340
ELINA,78619
ELISA,256335
ELISABETH,646620
ELIZABETA,52202
ELISE,326942
ELIZA,54070
ELIZABETH,1641711
ELIZAVETA,1627
ELKE,105404
ELLA,347649
ELLEN,448970
ELMA,31532
ELMAS,2985
ELSA,147187
ELSE,32461
ELVIRA,98602
ELZBIETA,13263
EMA,68292
EMAN,2698
EMANUELA,7280
EMEL,5221
EMILY,859227
EMESE,224
EMILIA,192787
EMINA,16648
EMINE,34351
EMMA,1020616
ENA,5992
ENISA,5436
ERIKA,307346
ERNA,103424
ERNESTINE,74977
ERVA,1900
ERZSEBET,1394
ERZSÉBET,705
ESILA,2043
ESLEM,1879
ESMA,17802
ESRA,17136
ESTHER,423696
EUGENIA,49752
EUGENIE,6548
EVA,798532
EVA-MARIA,8930
EVELINE,116357
EWELINA,5008
FABIENNE,280126
FADIME,10616
FANNY,165678
FARAH,32689
FARIDA,23257
FATEMA,2033
FATEMEH,3585
FATIMA,272378
FATIME,6056
FATMA,69583
FELICIA,111515
FELICITAS,11965
FERIDE,4084
FILIZ,9100
FIONA,65814
FLORA,113101
FLORENTINA,23367
FRANCESCA,61609
FRANZISKA,38430
FRIEDA,84812
FRIEDERIKE,21734
FUNDA,3504
GABRIELA,163364
GABRIELE,80218
GALINA,7260
GAMZE,6910
GEORGINA,31203
GERDA,117785
GERHILD,893
GERLINDE,22418
GERTA,1735
GERTRAUD,18260
GERTRAUDE,8499
GERTRUD,31296
GERTRUDE,260005
GINA,184394
GISELA,33381
GIULIA,37691
GIZEM,4963
GLORIA,483505
GORDANA,37320
GORICA,3979
GRACE,474515
GRAZYNA,6767
GRETA,144823
GRETE,14573
GUDRUN,20005
GÖNÜL,3348
GÜLAY,4112
GÜLCAN,3393
GÜLER,2693
GÜLLÜ,2498
GÜLSEN,3321
GÜLSÜM,3666
HACER,6263
HAFSA,17527
HEIKE,6336
HAJNALKA,711
HALA,3894
HALIMA,24736
HALIME,4175
HALINA,8253
HAMIDE,2751
HANAN,15121
HANIFE,5747
HANNAH,477808
HANNELORE,43757
HATICE,33572
HAVA,15075
HEBA,1898
HEDWIG,39615
HEIDE,6585
HEIDEMARIE,8703
HEIDELINDE,2910
HEIDI,298638
HEIDRUN,3149
HELEN,1044820
HELENA,377252
HELENE,93463
HELGA,109612
HELIN,3987
HELMA,2108
HENRIETTE,194260
HERMA,2444
HERMINE,45224
HERTA,40042
HILAL,6734
HILDA,216313
HILDE,227757
HILDEGARD,42959
HILDEGARDE,14298
HIRA,2840
HRISTINA,974
HUDA,2159
HÜLYA,9112
IBOLYA,777
IDA,322138
ILAYDA,6556
ILDIKÓ,3133
ILEANA,9364
ILKNUR,3231
ILONA,60306
ILSE,162570
IMAN,23713
INA,56240
INDIRA,9449
INES,167521
INGA,17504
INGE,171425
INGEBORG,74538
INGRID,416900
INNA,5626
IOANA,9577
IREM,9380
IRENA,207772
IRENE,562215
IRINA,41073
IRIS,188666
IRMA,166259
IRMGARD,18074
IRMTRAUD,1738
IRYNA,8206
ISABEL,447613
ISABELLA,330407
ISOLDE,5503
ISRA,5565
IVA,55989
IVANA,137822
IVANKA,73979
IVETA,2662
IVONA,4919
IWONA,9463
JACQUELINE,1172894
JADRANKA,14136
JADWIGA,5501
JAGODA,3329
JANA,189694
JANET,566922
JANINA,17050
JANINE,137800
JANJA,67700
JANKA,1933
JARMILA,1866
JASMIN,97515
JASMINA,65706
JASMINKA,7846
JEANETTE,182466
JEANNINE,529047
JELA,6066
JELENA,40026
JELICA,6887
JENNIFER,1685687
JENNY,216246
JESSICA,1322160
JOANNA,238953
JOHANNA,296297
JOLANTA,9755
JOSEFINE,29358
JOSEFA,291664
JOSIPA,4940
JOVANA,9510
JOVANKA,8173
JOY,144041
JUDITH,548429
JULIA,885422
JULIANA,99560
JULIANE,11476
JULIANNA,39303
JULIE,1071148
JUSTINE,214378
JUSTYNA,7825
JUTTA,14626
JÚLIA,666
KADRIYE,3275
KAJA,52676
KAMILA,13691
KAREN,1137099
KARIN,264458
CARINA,91505
CASSANDRA,211282
KATA,11124
KATALIN,7240
KATARZYNA,26011
KATARÍNA,1857
KATERYNA,3060
KATHARINA,126144
KATRIN,34591
KATICA,11174
KATJA,144701
KERSTIN,22227
KEVSER,2251
KEZIBAN,3513
KHADIJA,69186
KIM,318681
KIMBERLY,871491
KINGA,4633
KIRA,37090
KIRAZ,937
CORNELIA,92583
CHRISTIANE,651054
CHRISTIANA,74511
KRYSTYNA,14642
XENIA,12927
KÜBRA,7115
LANA,128439
LARA,198948
LARISSA,47850
LAURA,1612644
LEA,194214
LELA,42624
LENA,250003
LENKA,7792
LEONA,140688
LEONIE,41905
LEONORA,14893
LEONORE,5490
LEONTINA,4519
LEOPOLDINE,22119
LEPOSAVA,1626
LAETITIA,213698
LEYLA,33274
LI,3537
LIA,42971
LIANA,23433
LIANE,9420
LIDIJA,79690
LILIA,31051
LILIAN,28010
LJILJANA,28077
LILIANE,354249
LILITH,3710
LILLA,4955
LILLY,75362
LINA,171858
LINDA,1770658
LISA,1236727
LISA-MARIA,1816
LISA-MARIE,4053
LISBETH,29520
LIESELOTTE,25386
LIUDMILA,2678
LIVIA,35340
LJUBA,7156
LJUBICA,31147
LJUBINKA,6484
LOLA,203484
LORE,78137
LORIN,3680
LORENA,133705
LOTTE,91870
LUCA,5932
LUCIA,331462
LUCIE,322584
LUCYNA,2173
LUDMILA,6631
LUDMILLA,5003
LUISA,78734
LUISE,8994
LUNA,106325
LYDIA,280911
MADELEINE,452371
MADINA,5750
MAGDA,117885
MAGDALENA,198482
MAHA,3907
MAIDA,5165
MAJA,240252
MALAK,20190
MALGORZATA,19926
MALIKA,76741
MANAL,10738
MANDA,7761
MANUELA,249358
MARA,55706
MARCELA,21025
MARGARETA,82119
MARGARETE,55526
MARGARITA,145059
MARGITA,2123
MARGIT,46678
MARGOT,113302
MARGRET,14658
MARIA,3536642
MARIANNE,336980
MARICA,27570
MARIE,4054545
MARIE-CHRISTINE,139240
MARIE-LUISE,2511
MARIE-SOPHIE,2969
MARIE-THERES,1381
MARIE-THERESE,2642
MARIELLA,9816
MARIIA,3878
MARIJANA,32134
MARIETTA,28214
MARIKA,26948
MARINA,375027
MARINELA,3301
MARIOLA,4416
MARION,374800
MARLEN,8734
MARLENA,13195
MARLENE,156429
MARLIES,24947
MARTHA,661435
MARTINA,274853
MARWA,23260
MARY,4152515
MARYAM,44178
MARZENA,4810
MATEJA,138254
MATHILDE,225730
MATILDA,87775
MAVIE,199
MEDINA,11880
MEDINE,5179
MEHTAP,1820
MELANIE,305810
MELEK,11605
MELIHA,5797
MELIKE,6453
MELINA,35417
MELINDA,150649
MELIS,2911
MELISSA,884767
MELITTA,5970
MELTEM,3162
MERAL,4190
MERIMA,4007
MERJEM,730
MERVE,16959
MERYEM,29404
MIA,267494
MICHAELA,121068
MICHELLE,1056228
MILA,70778
MILADA,1790
MILANA,7676
MILANKA,7203
MILENA,135215
MILEVA,3994
MILIJANA,2560
MILICA,31823
MILKA,24697
MINA,51605
MINE,1996
MIRA,66710
MIRAY,1970
MIRELA,14705
MIRIAM,207443
MIRJANA,49478
MIROSLAVA,19816
MIRSADA,6708
MICHELE,227893
MITRA,2182
MONA,88834
MONIKA,219033
MÓNIKA,1021
NACIYE,2271
NADA,108131
NADEZDA,2684
NADEZHDA,1410
NADJA,45611
NADICA,4994
NADINE,447972
NAIMA,37271
NANCY,1246065
NAOMI,190235
NARGES,366
NATALIA,201536
NATALIE,375542
NATALIIA,2250
NATALIYA,7116
NATASA,4611
NATASCHA,38796
NAZLI,3685
NECLA,2072
NEDA,7796
NELA,4448
NEJLA,4912
NELLY,195215
NERMIN,3461
NERMINA,4610
NESLIHAN,4587
NESRIN,2925
NEVENA,4286
NEVENKA,49690
NICOLE,1356651
NICOLETA,6919
NIKA,88205
NIKOLA,6326
NIKOLETT,200
NIKOLETTA,911
NIKOLINA,10832
NINA,431618
NISA,10327
NISANUR,822
NOEMI,58732
NORA,248834
NOURA,13660
NOUR,30244
NURAN,3014
NURAY,4895
NURCAN,4351
NURHAN,551
NURIYE,2823
NURTEN,3583
OKSANA,8901
OLENA,9055
OLGA,274717
OLGICA,3068
OLHA,2366
OLIVERA,6657
OLIVIA,518779
OTTILIE,4534
OXANA,2712
PAMELA,622349
PATRICIA,2241953
PAULA,644800
PAULINA,50619
PAULINE,507516
PERIHAN,2421
PETIMAT,414
PETRA,282186
PHILIPPA,4700
PIA,79370
PINAR,4469
POLINA,3299
RABIA,21467
RACHEL,690458
RADA,6339
RADICA,3949
RADMILA,16631
RADOJKA,6730
RAHIME,1349
RAJANA,773
RAMONA,104964
RANA,10408
RANIA,34262
RAPHAELA,8936
RASHA,1314
REBECCA,823770
REEM,3142
REGINA,253904
REGINE,11323
RENATA,71442
RENATE,96850
RENE,23805
RENÁTA,1208
REYHAN,3061
RICARDA,3974
RITA,736265
ROBERTA,179119
RODICA,5030
ROXANA,18210
ROMANA,53724
ROMINA,24559
ROMY,27234
RONJA,13681
ROSA,488040
ROSALIA,64182
ROSALIE,106028
ROSEMARIE,63915
ROSINA,15802
ROSMARIE,18906
ROSWITHA,16636
ROYA,1488
ROZA,16760
RUDOLFINE,2126
RUKIYE,5222
RUTH,931779
RUZA,3395
RUZICA,4598
RUŽA,1451
RUŽICA,2780
RÉKA,717
SABINA,104728
SABINE,344150
SABRINA,389548
SAFIA,17504
SAFIYE,2792
SAHAR,5266
SALIHA,12804
SALMA,46131
SALOME,10998
SAMA,1567
SAMANTHA,601522
SAMIA,31959
SAMIRA,74567
SANA,20330
SANDRA,1429327
SANELA,17959
SANIYE,2131
SANJA,44392
SARAH,1664140
SASKIA,50898
SATI,2492
SEDA,5133
SEHER,5400
SELDA,4059
SELIN,13790
SELINA,37747
SELMA,77121
SEMA,7042
SEMRA,6303
SENA,6678
SENADA,8293
SENGÜL,2497
SERAP,3541
SERIFE,5871
SERPIL,4920
SEVDA,5897
SEVGI,6457
SEVIM,7407
SEYMA,3383
SHEILA,262997
SHIRIN,3777
SIBEL,12179
SIBYLLE,13012
SIGRID,52860
SIGRUN,3009
SIEGLINDE,6600
SILA,4228
SILKE,59053
SILVANA,33226
SILVIA,287266
SIMA,2350
SIMONA,104831
SIMONE,359533
SINA,6728
SINEM,5450
CYNTHIA,773982
SLADANA,4384
SLADJANA,8623
SLAVICA,58357
SLAVKA,18543
SLOBODANKA,7937
SNEZANA,8276
SNEŽANA,6654
SNJEZANA,1548
SNJEŽANA,992
SONA,2330
SONGÜL,6022
SONJA,334021
SOPHIA,318461
SOPHIE,653329
SPOMENKA,2428
STANA,7299
STANISLAVA,55438
STANISLAWA,4469
STEFANIA,13182
STEFANIE,165894
STELLA,199907
STOJANKA,3601
SUDE,2274
SULTAN,11897
SÜMEYYE,3883
SUNA,2234
SUNCICA,531
SUSANNA,107709
SUSANNE,163864
SUSAN,1156337
SVITLANA,4926
SVJETLANA,3138
SVETLANA,31564
SYLWIA,6938
SZILVIA,2105
TABEA,2692
TAMARA,303405
TANJA,170457
TARA,196635
TATJANA,128708
TEA,28219
TEODORA,22025
TETIANA,2363
TETYANA,4325
THERESA,429148
THERESE,57909
THERESIA,49664
THI,31716
TIJANA,7334
TIMEA,4229
TINA,462574
TRAUDE,897
TUANA,4409
TUBA,4054
TUGBA,8476
TÍMEA,564
TÜLAY,3681
TÜNDE,774
TÜRKAN,3096
ULLA,22444
ULRIKE,34954
UNA,10058
URSULA,101248
URSZULA,5751
UTA,1895
UTE,6726
VALENTINA,127776
VALERIA,104331
VALERIE,308308
VANESSA,544307
VERA,299334
VERENA,56558
VERICA,17294
VERONIKA,104773
VESNA,115864
VIDA,81455
VIDOSAVA,1733
VIERA,899
VIKTORIA,49696
VIKTORIIA,1364
VIOLA,143006
VIOLETA,34810
VIORICA,4486
VIRGINIA,711248
VIVIEN,11137
WALPURGA,1564
WALTRAUD,27246
WALTRAUDE,3133
WALTRAUT,1603
WANDA,290698
VANJA,30249
WILHELMINE,8739
WILMA,159012
YAGMUR,3073
YARA,14930
YAREN,2853
JASNA,39497
YELIZ,4117
YETER,3929
YILDIZ,3741
YOLANDA,229634
YULIA,3984
YULIYA,3720
YVONNE,582217
ZAGORKA,2539
ZAHRA,33079
ZAINAB,11939
ZAKLINA,1558
ZARA,20136
ZDENKA,75451
ZEHRA,16080
ZELIHA,8144
ZELJKA,557
ZEYNEP,30003
ZITA,14175
ZIVADINKA,904
ZIVKA,989
ZLATA,11469
ZLATICA,3939
ZOE,121256
ZORA,24652
ZORICA,21661
ZORKA,9771
ZSUZSANNA,4043
ZSÓFIA,715
ZUZANA,6192
ZÜMRA,676
ÇIGDEM,232
ÉVA,3040
ÖZGE,2330
ÖZLEM,9167
ŽAKLINA,1802
ŽELJKA,1237
,346
SUE-ALISON,1
ANDROULLA,3
HAYLEE,25042
TREVONNE,1
DANYA,3679
SIRAT,23
DEANNAH,107
SHELBEY,901
RAFFAELINA,16
