MARTÍNEZ,2027
SÁNCHEZ,1599
GARCÍA,3354
FERNÁNDEZ,2723
LLOVERA,2635
CAVALIERE,4150
ARENY,621
PÉREZ,2294
LÓPEZ,2932
MORENO,1259124
GÓMEZ,1738
RODRÍGUEZ,2420
ÁLVAREZ,757
GONZÁLEZ,4128
ROSSELL,5240
COLOM,12282
RUBIO,385070
GRAU,56408
SAN NICOLÁS,6
CARTES,1601
TORRES,1169163
RAMÍREZ,1027
SILVA,384248
GODOY,57422
PUJOL,41217
LIMA,45281
JORDANA,3756
ALVAREZ,1182296
PONCE,144671
GELABERT,9613
BONET,35245
FERRÉ,39
COSTA,156031
GALLARDO,179578
UBACH,2376
PEIG,657
PERAL,22552
SERRA,93279
DE OLIVEIRA,13351
GONÇALVES,8172
MATOS,52617
DÍAZ,1558
PINTADO,16039
GOMES,59049
SCHNEIDER,206516
SANTOS,453140
GREEN,831519
MOYA,164533
SILVERIO,7169
VIVES,33911
RIVA,4284
PUIG,66072
CODINA,19857
LACUEVA,2466
CANUT,2028
GALLEGO,217203
MONTAGUT,3822
MASSANA,2889
BASTIDA,18287
ROMERO,978201
FUENTES,306710
CALVO,218226
RODRIGUEZ,4403363
DE LA RIVA,4906
OJEDA,92099
ANTOR,207
CLEMENTE,68704
JONAS,17354
BARRA,9235
MONTANE,3982
IMBERNON,3834
BENET,8212
CALVET,8129
SEBASTIAN,49907
DIAZ,1532553
FERNANDEZ,3012534
PICART,1544
ESTRAGUÉS,3
MARTINEZ,4053401
VERDÚ,6
MORRISON,237524
CLARET,2238
GUERRA,214114
BARCIA,17841
FONT,50539
SIN BILLBOARD,3
PEREZ,3317395
BARIOS,339
FITÉ,3
ARCE,62949
MOLINS,8015
OLIVA,102135
BLANCO,426431
VINARDELL,660
MEJÍAS,17
OROSA,2664
PLA,35018
MOLES,12004
BORJA,43927
GIL,458902
MENDOZA,459543
PONS,81998
CASAL,28959
MIR,22821
MAJORAL,1092
AMIGÓ,9
MONTANYA,777
ALAVEDRA,1017
ROIG,55729
REYES,659563
BARTOLOMÉ,15
RIERA,52748
CERDÀ,3
RODRIGUES,76871
NIETO,218621
MARCET,3126
ESTEVE,47377
OLM,580
MIJARES,7084
ACOSTA,248353
DORIA VILARRUBLA,3
VILANOVA,14654
MOLNE,461
RIBA,8601
ESCUDÉ,6
TIZÓN,6
CAYUELAS,2967
DA SILVA,46882
IBAN,1227
RUZAFA,3816
CARVALHO,24882
CERQUEIRA,4345
CAÑABATE,2799
JOVER,15529
JIMÉNEZ,512
DOLSA,3
AYALA,185184
CALERO,57164
TOSCANO,26516
TOR,1979
REGUERA,13414
ARANDA,117312
PEPPE,797
MEDINA,550844
POL,9833
VALES,7377
SALVADÓ,3
IGLESIAS,280765
CASAÑAS,5319
BERNAUS,2487
MARTÍ,46
TUDEL,3
MORELL,20509
MELLADO,32366
BENLLOCH,5979
GUTIÉRREZ,942
LORENZO,193665
SORIA,84920
VILLARÓ,3
MAGNE,523
RIBAS,31122
ROURE,1794
GEORGI,1467
MARTÍN,392
PINTAT,3
PETIT,16115
SALEM,14596
QUBAISI,9
ALAMERI,270
AL QASIMI,11
SALEH,12889
HASSAN,30277
ABDULRAHMAN,837
ABBAS,12457
MOHAMMADI,2301
AL-ZAROUNI,3
ROSE,296115
SAEED,5562
BERNARDINI,2825
Q55340950,3
AMRO,371
Q55680730,3
WOLTERS,7130
EDEN,14310
Q62396161,3
Q100384330,3
EISA,217
FARAJ,1857
MANSOOR,1278
JABER,5661
AL-FUTTAIM,3
MATHEWS,101368
Q48538152,5
HAMMADI,1429
MURAD,3006
Q55791529,5
MOUSSA,4710
GERGAWI,3
AL GHURAIR,6
SUHAIL,331
ADEL,1433
HUSSAIN,37047
DARWISH,2206
MOUSA,1387
ALKAABI,3
KHALIL,11160
TOMA,11730
REMARENCO,5
MUSA,5587
CANEDO,6832
CORREA,114053
AWANA,419
HADDAD,21216
MATAR,1304
PACHACHI,5
MAKTOUM,3
Q66663727,3
AHMED,91771
SULAIMAN,1281
JONES,2739175
HAQQANI,25
KARZAI,263
MOHAMMAD,11316
SADAT,775
KHAN,106544
AMIN,16917
WARDAK,614
RAHIMI,2901
AKHUNDZADA,11
OMAR,10114
LUDIN,457
NAJEM,685
AKBARI,1058
SALIM,5277
AMIRI,2166
BAYAT,558
BARAKZAI,6
SHAH,78124
NOORZAI,6
TARZI,11
DURRANI,1048
MUJAHID,444
AHMAD,30961
KHALID,5788
GOSSET,360
SHAHEEN,6877
SHARWORTH,3
HOTAK,3
SAFI,2547
RAZ,1274
WOLASMAL,5
WAZIR,221
GHASIMY,6
ABASI,3
HOSSEINI,1883
SALMI,3995
MCDEVITT,14637
KARLSSON,2416
VALPINÇON,3
NAZERI,5
ELMAN,1856
SAADATI,3
ZAKI,2614
KITMAN,3
AZIZ,12305
BEHZAD,17
TARIN,14131
ABDALI,217
DASTGIR,8
HARTMANN,23084
ALBERTI,9319
AFGHANI,233
ADIL,1028
RAZMYAR,6
ALIZADEH,668
JALAL,1269
WHITE,1284476
SIDDIQUI,10021
ASIL,10
AKRAMI,7
TAJIK,12
SULIMAN,921
ZAMANI,1612
HAMDAM,3
ESMAELI,3
SAKHI,860
KAZEMI,1204
SHIR,301
SAYEED,754
NASIR,3493
BARMAK,15
NAKAMURA,15674
MULIK,236
MAHBOOB,320
MOHSENI,589
FAZIL,3
NASERI,5
AHMADI,3631
LALA,2078
PATTERSON,398199
JAWED,271
OSMAN,13188
NIKZAD,307
ROSHAN,607
ABBASI,3634
KARIMI,3486
NAZARI,1453
JAN,3964
ALI,98003
FARID,2267
KHALIQ,765
ABID,4082
DIN,3362
DOST,1257
ROHANI,391
ZUBAIR,1230
SULTANI,557
MUKHTAR,1316
SALEHI,1344
IBRAHIMI,2392
MAZHARI,8
JALALI,1098
FAZLI,461
YOUNUS,408
MUNIR,2553
SAQIB,608
ISSA,6050
RAHIM,4325
IDREES,404
RASOULI,5
SADR,324
NOMANI,5
BALKHI,3
HANIF,2391
ULHAQ,5
OMARI,1551
MANSUR,3285
HANAFI,847
SEDIQI,5
ULLAH,6196
ALIMI,551
NAJAFI,647
AHMADZAI,399
HAKIMI,2126
OROKZAI,3
MANGAL,1277
HASHIMI,887
GHAFARI,323
KARIM,11487
Q56244878,3
QADIR,897
BASHIR,5120
BADR,1035
JAHANI,5
GHALIB,5
MADJID,6
KOOFI,3
MANSOUR,11755
ZALAND,3
HADID,408
DAFTARI,5
ABDULLAH,12803
ZAHIR,2214
RAHMAN,25523
ASHRAF,5851
NAEEMI,6
ASSAR,358
TANAI,3
SAMAR,536
JOYA,7327
YUNUS,414
SIMANTOV,9
FAHIM,1538
QANUNI,3
JAFARI,1486
KHALILI,1640
WAFA,3
HAQ,2661
SHAMS,1373
KABIR,2507
NOYAN,11
NAZAR,1986
BRENIER,3
AMAN,7312
PRAAG,3
HABIB,8199
BARAK,1464
SARWARI,297
AYUB,1673
NADIM,12
SABOORI,7
MALAKZAY,3
WALI,944
THOMAS,1430631
SIMON,230173
JOSEPH,162314
WILLIAMS,3079767
BROWNE,43307
WALSH,208791
CHRISTIAN,102615
BIRD,68996
SPENCER,270812
PETERS,270965
RICHARDS,253653
HUGHES,462861
FRANCIS,145253
HARRIS,1191786
BENJAMIN,73664
JACOBS,232909
RICHARDSON,501943
HENRY,324991
STEVENS,364926
BURTON,215867
ROBINSON,1011502
FREDERICK,79864
LEWIS,1024129
ANTHONY,104948
EDWARDS,638431
ROBERTS,737484
JAMES,470612
GREGORY,178851
CARR,229194
PHILLIP,12022
FALCONE,14211
WALTER,97069
MARSH,123167
MASCOLL,293
PELLE,1590
TERRY,168097
LLOYD,124001
GORDON,319129
HAMPSON,5039
BRYAN,110713
JARVIS,68808
MARSHALL,357137
BUTLER,424322
BRIDGES,104663
FRANK,133649
BARNES,426790
SMITH,4774112
PRINCE,89896
PHOENIX,5718
GRIFFITH,155087
CLARKE,129595
LEHRER,3381
CAMACHO,221197
JOHN,57727
MILLER,2261142
ALEXANDER,388782
WATTS,173616
JEREMY,664
MACK,134592
MURRAY,360314
LINDSAY,64361
LOVELL,41388
TONGE,1912
SOWERBY,612
WALDRON,33865
GREENE,239500
NIBBS,443
MARTIN,2806153
MURTAGH,3454
DAVIS,2148795
CHARLES,105666
AMBROSE,33456
SAMUEL,39491
HODGE,101354
GRAYMAN,257
SCOTT,845385
BLACKSTOCK,6128
FARRELL,103057
STANFORD,41303
LOOBY,1907
CARLISLE,39509
BAILEY,534273
ITEM,3
CAMPBELL,748586
ARCHIBALD,15728
MCCOY,213067
BRODIE,12834
HIGGINS,157492
BYAM,1836
MOSES,74179
GRAHAM,390834
ST. JOHN,103
VITTORIA,453
SAAB,2026
PHILIP,9256
PERCIVAL,6400
POTTER,143194
TURNER,675342
GREENAWAY,1964
MITCHELL,738504
HOXHA,1001
FRASHËRI,21
AGOLLI,264
RAMA,15956
BERISHA,1648
MEHMETI,410
GASHI,1228
SHEHU,524
BASHA,1152
SOKOLI,12
BARDHI,14
PAPA,12461
BUTKA,792
TRESKA,319
GJONI,289
KONÇI,9
MARUBI,9
XHILLARI,9
KRASNIQI,988
MATA,130982
SIMONI,2487
KADARE,9
MARTINI,15295
DIBRA,12
STEFANI,3429
KURTI,433
RAMAJ,12
HAXHIU,9
SEFERI,15
HAJDARI,15
XHUVANI,9
META,534
BUSHI,215
PASHA,1999
DUSHKU,6
DUSHI,6
ARAPI,6
SADIKU,416
LIKA,353
MINGA,1245
BAKAJ,6
ISTREFI,9
GJATA,6
AHMETI,268
LILA,443
BAJRAMI,493
TOPALLI,6
ALIU,979
ALBANIA,6
MARKO,5330
SHTYLLA,6
SPAHIU,8
LUCA,7339
BEQIRI,322
VANGJELI,6
CURRI,242
ZANI,1013
RAPO,15
AHMEDI,8
DEDA,408
LEKA,528
GJOKA,6
VITIA,6
HALILI,1030
AGALLIU,6
MURIQI,8
THAÇI,8
DODA,562
DURO,12096
ALLA,1240
KORESHI,9
KRAJA,395
QIRIAZI,6
VRIONI,12
ZAHARIA,3138
BREGASI,6
KONOMI,9
KOCI,1148
LULI,228
GOGA,872
ZADRIMA,206
KODRA,308
XHEPA,6
TOPTANI,6
MALOKU,6
MEÇORAPAJ,3
MESI,591
DUKA,736
RISTA,21
VESELI,5
FUGA,433
SEFA,3
PILI,620
HYSENI,225
ZENUNI,3
MOORE,1402146
PASKALI,3
HILA,7
LOGOREZZI,3
IDRIZI,208
SHAHINAS,3
KAPO,3
PETROV,8121
BEKAJ,6
KODHELI,6
SHERIFI,3
QERETI,3
BASHHYSA,3
REXHA,239
NIKAJ,3
RUCI,3
JORGJI,3
TEPSHI,3
LEKAJ,224
HASA,12
GJASULA,3
FABER,20493
GACI,3
ALTIMARI,545
GJINI,3
RADA,8465
DUDA,13014
LULAJ,3
MANAJ,3
GJONIKAJ,3
ÇEKIÇI,3
FOSCHI,324
KAME,377
DITA,3
ASLLANI,3
SHAZIVARI,3
DERJAJ,3
RERES,291
SUKA,259
BELLO,65463
TOÇI,3
SHKRELI,749
VASI,583
KABASHI,12
GAQOLLARI,3
SEJDIU,3
KULE,257
HYSHMERI,3
MOSER,59904
VALLE,118361
DINA,2272
ABAZI,5
NIMANI,3
GEGA,299
BUNJAKU,18
MËHILLI,3
RAJKU,3
VIKA,17
NIKOLLA,3
LUMANI,5
NOGA,3424
TAHIRI,6625
GURAKUQI,3
BALI,1743
POPA,18895
ADEMI,424
MIHO,3
BICI,3
DOSHI,3148
KUMI,344
XHAÇKA,3
SULA,885
HAFIZI,3
JAHA,3
LIN,142012
SOLIS,168965
SYLA,211
AHMETAJ,313
FILIPI,695
UKAJ,3
PALI,595
QAKA,5
MANE,2912
MAKOÇI,3
BURDA,3427
DANI,1375
ARA,5989
MALOTA,379
FERRI,17761
KASIMATI,3
SELA,1262
SHUKRIU,3
LAMA,11593
TOCCI,3096
ILO,6
BABAI,8
KARAOSMAN,3
XHEMALI,3
MORINA,802
SILIQI,3
DEMI,473
