First names in double names of girls 0-4 years 1 January 2008,,,
,,,
,Number,Frequency,Rank in 2005
1 Sara,187,2,2
2 Anna,186,2,1
3 Emilía,152,2,20
4 Eva,143,2,7
5 Katrín,141,2,3
6 Guðrún,134,2,4
7 María,129,2,5
8 Kristín,123,2,8
9 Margrét,109,1,11
10 Helga,105,1,10
11 Telma,103,1,6
11 Júlía,103,1,26
13 Aníta,102,1,11
14 Rakel,96,1,14
14 Viktoría,96,1,22
16 Lilja,90,1,24
16 Elísabet,90,1,14
18 Hildur,87,1,18
18 Ísabella,87,1,33
20 Karen,82,1,18
21 Andrea,81,1,16
22 Tinna,79,1,17
23 Embla,78,1,26
24 Sigrún,75,1,13
25 Hekla,73,1,29
26 Sigríður,66,1,30
26 Elín,66,1,20
28 Íris,65,1,28
29 Sóley,64,1,23
30 Ásdís,62,1,35
30 Birta,62,1,9
32 Sunna,61,1,41
33 Rebekka,60,1,35
33 Jóhanna,60,1,25
35 Helena,59,1,31
36 Ingibjörg,58,1,48
37 Arna,57,1,41
38 Emma,54,1,93
38 Freyja,54,1,72
38 Katla,54,1,57
41 Kolbrún,53,1,37
42 Alexandra,52,1,38
43 Hrafnhildur,50,1,50
44 Hanna,49,1,44
44 Elísa,49,1,50
46 Þórdís,48,1,46
46 Hafdís,48,1,65
48 Bryndís,47,1,62
48 Ásta,47,1,32
50 Natalía,46,1,82
51 Inga,45,1,33
51 Ólöf,45,1,38
51 Ragnheiður,45,1,46
54 Brynja,44,1,71
55 Auður,43,1,57
55 Sandra,43,1,40
55 Steinunn,43,1,55
55 Kamilla,43,1,68
59 Þórunn,42,1,57
60 Guðný,41,1,44
60 Erla,41,1,62
60 Agnes,41,1,52
63 Dagný,40,1,55
63 Unnur,40,1,65
65 Birna,39,1,52
65 Sólveig,39,1,72
67 Birgitta,37,1,41
68 Bríet,36,1,79
69 Lára,35,1,57
69 Berglind,35,1,82
69 Stefanía,35,1,74
72 Dagbjört,34,1,65
73 Eydís,33,1,57
74 Aldís,32,1,82
74 Hrefna,32,1,102
76 Aþena,31,1,86
76 Hulda,31,1,68
76 Lovísa,31,1,79
76 Elva,31,1,54
76 Arndís,31,1,86
81 Elsa,30,1,96
81 Karítas,30,1,129
83 Þóra,29,1,74
83 Matthildur,29,1,113
83 Klara,29,1,88
86 Sóldís,28,1,113
87 Selma,27,1,74
87 Herdís,27,1,157
89 Sunneva,26,1,88
90 Kristjana,25,1,94
90 Diljá,25,1,106
90 Edda,25,1,88
90 Eyrún,25,1,102
90 Nína,25,1,136
95 Þórey,24,1,113
95 Valdís,24,1,106
95 Snædís,24,1,74
95 Laufey,24,1,79
95 Iðunn,24,1,136
95 Harpa,24,1,48
95 Hugrún,24,1,129
95 Halldóra,24,1,94
95 Soffía,24,1,102
95 Vigdís,24,1,96
95 Ester,24,1,121
95 Fanney,24,1,88
107 Silja,23,1,82
107 Linda,23,1,96
107 Heiðdís,23,1,146
107 Tanja,23,1,113
107 Brynhildur,23,1,173
107 Sylvía,23,1,78
,,,
Samtala einnefna og fyrra nafns tvínefna drengja.,,,
,,,
Latest update:,,,
20081112 00:00,,,
,,,
,,,
,,,
Copyright,,,
,,,
Units:,,,
"Number, frequency and rank",,,
,,,
,,,
Reference period:,,,
2008,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Internal reference code:,,,
MAN11108,,,
