Name,Frequency ;;Female names 1 January 2019,,
Guðrún,4656
Anna,4654
Kristín,3487
Sigríður,3343
Margrét,2886
Margrjet,2886
Margret,2886
Helga,2713
Sigrún,2532
Ingibjörg,2136
María,1962
Jóhanna,1915
Elín,1639
Katrín,1568
Hildur,1432
Eva,1357
Lilja,1332
Ragnheiður,1283
Ásta,1272
Guðbjörg,1266
Elísabet,1247
Elísabeth,1247
Erla,1241
Sara,1205
Guðný,1141
Ólöf,1118
Steinunn,1110
Auður,1100
Kolbrún,1065
Sólveig,1056
Solveig,1056
Bryndís,1047
Inga,1039
Berglind,1038
Hulda,1036
Íris,1018
Ásdís,1008
Þórunn,1000
Unnur,995
Hrafnhildur,987
Þóra,983
Rakel,931
Birna,891
Þórdís,8
Jóna,844
Halldóra,8
Erna,813
Karen,801
Linda,798
Hanna,798
Edda,786
Telma,7
Thelma,7
Harpa,760
Sandra,758
Valgerður,7
Hafdís,737
Tinna,711
Emilía,8
Emelía,8
Andrea,707
Sigurbjörg,695
Guðlaug,693
Jónína,672
Brynja,670
Helenae,664
Kristjana,658
Lára,653
Hjördís,652
Sóley,651
Aníta,640
Anita,640
Arna,637
Stefanía,606
Ragnhildur,579
Hólmfríður,570
Hrefna,566
Aðalheiður,563
Rósa,558
Áslaug,557
Björg,555
Laufey,551
Dagný,539
Sunna,539
Halla,538
Marta,5
Martha,5
Ágústa,524
Ingunn,518
Agnes,516
Viktoría,514
Sigurlaug,5
Freyja,502
Elsa,494
Elva,4
Elfa,4
Júlía,493
Soffía,4
Sofie,4
Birta,479
Rannveig,475
Þorbjörg,474
Torbjörg,474
Alexandra,462
Ása,460
Svava,450
Svafa,450
Vigdís,449
Ester,4
Esther,4
Fanney,448
Katla,446
Rebekka,438
