Number,Frequency
Jón,5177
Sigurður,4187
Guðmundur,3927
Gunnar,3130
Ólafur,2776
Olav,2776
Einar,2443
Kristján,2436
Kristian,2436
Christian,2436
Magnús,2325
Stefán,2243
Stefan,2243
Jóhann,2040
Björn,1715
Arnar,1684
Árni,1587
Bjarni,1498
Helgi,1469
Halldór,1415
Pétur,1412
Pjetur,1412
Daníel,1398
Kristinn,1302
Ragnar,1277
Gísli,1238
Þorsteinn,1223
Guðjón,1189
Aron,1163
Sveinn,1144
Svend,1144
Róbert,1082
Robert,1082
Páll,1063
Óskar,1045
Birgir,1043
Davíð,1043
Andri,1042
Alexander,1032
Viktor,1028
Victor,1028
Bjarki,981
Tómas,957
Haukur,923
Jóhannes,902
Ágúst,889
Karl,863
Carl,863
Ásgeir,853
Brynjar,848
Benedikt,833
Haraldur,829
Atli,814
Kjartan,808
Sigurjón,786
Friðrik,784
Baldur,780
Þórður,778
Hilmar,774
Kristófer,771
Kári,756
Hörður,743
Rúnar,734
Jónas,716
Egill,704
Eiríkur,685
Sindri,672
Björgvin,646
Sævar,624
Sævarr,624
Guðni,614
Elvar,604
Elfar,604
Hlynur,601
Sverrir,594
Örn,590
Ómar,588
Ari,577
Ísak,576
Ingvar,572
Jakob,572
Jakop,572
Snorri,557
Dagur,554
Reynir,551
Ingólfur,550
Matthías,548
Mattías,548
Mathías,548
Ívar,535
Arnór,532
Anton,532
Hafsteinn,532
Birkir,531
Garðar,530
Þórarinn,526
Eyþór,518
Axel,515
Þórir,515
Grétar,508
Gretar,508
Tryggvi,504
Emil,499
Steinar,498
Valdimar,497
Valdemar,497
Vilhjálmur,492
Mikael,491
Mikkael,491
Mikkel,491
Ingi,488
Hjalti,477
Hákon,470
Adam,462
Hermann,461
Hjörtur,454
Aðalsteinn,451
Gunnlaugur,442
