A IPPOLITO,male
A MARIA,male
A. ANGELO,unknown
A. GIUSEPPE,unknown
A. MARIA,unknown
A. ORESTE,unknown
A. VITTORIO,unknown
A.M.LODOVICA,unknown
A.R. MARIA,unknown
A.RAFFAELE,unknown
AAMEDEO,unknown
AANDREA,female
AARON,male
ABA,male
ABATE SLVATORE,female
ABBONDANZA,female
ABBONDIO,male
ABDENACO,unknown
ABDERRAHMANE,male
ABDON,male
ABDREA,unknown
ABELE,male
ABELE ANGELO,male
ABELE LEO,male
ABELIO,male
ABONDIO,unknown
ABRAHAMO,unknown
ABRAMO,male
ABRAMO CALOGERO,male
ABRAMO FILIPPO,male
ABRAMO GINO,male
ABRAMO GIUSEPPE,male
ABRAMO MIRTO,male
ABRAMO OTTORINO,male
ABRIZIO,unknown
ACAPITO,unknown
ACCURSILVIO,unknown
ACCURSIO,male
ACHILL,male
ACHILLE,male
ACHILLE ALVARO,male
ACHILLE ANDREA,male
ACHILLE ANSELMO,male
ACHILLE ANTONINO,male
ACHILLE ANTONIO,male
ACHILLE AUGUSTO,male
ACHILLE C,male
ACHILLE CARLO,male
ACHILLE ENOC,male
ACHILLE F.,male
ACHILLE FAC,male
ACHILLE FELICE,male
ACHILLE FILIBERTO,male
ACHILLE FRANCESCO,male
ACHILLE GIANCARLO,male
ACHILLE GIOVANNI,male
ACHILLE IGNAZIO,male
ACHILLE LUIGI,male
ACHILLE MARIA,male
ACHILLE MARIO,male
ACHILLE PAOLO,male
ACHILLE PIETRO,male
ACHILLE SANDRO,male
ACHILLE SERGIO,male
ACHILLE UMBERTO,male
ACHILLE VINCENZO,male
ACHILLE VIRGINIO,male
ACHILLE VITTORIO,male
ACHIROPITA,female
ACQUILINO,unknown
ACQUOSO LUCA,unknown
ADA,female
ADA CAROLINA,female
ADA CINZIA,female
ADA CLEMENTINA,female
ADA DEBORA,female
ADA GIOVANNA,female
ADA GIUSEPPINA,female
ADA INES,female
ADA LEONARDA,female
ADA LISA,female
ADA LUCIA,female
ADA LUISIANA,female
ADA MARIA,female
ADA NATALINA,female
ADA RITA,female
ADA SONIA,female
ADA UGHETTA,female
ADA ZITA,female
ADALBERT,male
ADALBERTA,female
ADALBERTO,male
