Ada,613
Ahsen,214
Aleyna,452
Aliye,96
Alya,289
Amine,336
Arife,252
Arin,75
Arya,250
Arzu,1235
Asel,128
Asiye,603
Aslı,2382
Aslıhan,438
Asmin,634
Asya,330
Aybüke,269
Ayfer,769
Aylin,648
Aynur,1176
Aysel,907
Aysima,492
Aysun,1208
Ayşe,463
Ayşe Nur,971
Ayşegül,1698
Ayşenur,1315
Ayten,582
Azra,390
Bahar,2350
Bedriye,164
Belinay,369
Beren,486
Berfin,877
Beril,377
Berivan,483
Berna,510
Berra,812
Betül,1590
Beyza,977
Beyza Nur,852
Beyzanur,958
Birgül,304
Birsen,95
Buğlem,384
Buket,192
Burcu,883
Buse,880
Büşra,701
Canan,1144
Cansel,107
Cansu,1356
Cemile,866
Cemre,637
Cennet,176
Ceren,1002
Ceyda,634
Ceylan,854
Ceylin,432
Çağla,250
Çiğdem,802
Damla,1588
Defne,341
Demet,1104
Deniz,2873
Deren,195
Derin,451
Derya,811
Didem,169
Dilan,804
Dilara,894
Dilek,931
Doğa,254
Döndü,285
Döne,85
Dudu,141
Duru,483
Duygu,1068
Ebrar,835
Ebru,838
Ece,1407
Ecrin,170
Eda,1936
Edanur,1064
Ekin,87
Ela,290
Ela Nur,99
Elanur,707
Elif,228
Elif Ada,97
Elif Naz,779
Elif Nur,937
Elif Su,443
Elife,94
Elifnur,182
Elifsu,177
Elisa,252
Elmas,145
Emel,733
Emine,748
Erva,374
Esila,396
Eslem,359
Esma,2010
Esma Nur,992
Esmanur,944
Esra,1078
Eylül,372
Ezel,97
Ezgi,1422
Fadime,1261
Fatma,397
Fatma Nur,1583
Fatma Zehra,505
Fatmanur,1404
Feride,233
Feyza,286
Fikriye,126
Filiz,793
Funda,1100
Gamze,1026
Gizem,999
Gökçe,318
Gönül,710
Gözde,618
Gül,100
Gülay,696
Gülcan,1808
Gülce,97
Güler,581
Güllü,183
Gülseren,209
Gülsüm,1769
Gülşah,1168
Gülşen,1108
Gülten,485
Gülüzar,75
Güneş,377
Habibe,86
Hacer,1417
Hafize,65
Hafsa,248
Halime,1634
Hamide,180
Hanım,165
Hanife,955
Hatice,608
Hatice Kübra,728
Hatun,84
Hava,115
Havin,823
Havva,1198
Hayriye,287
Hayrunnisa,623
Hazal,1155
Hediye,143
Helin,555
Hilal,1920
Hira,199
Hira Nur,357
Hiranur,244
Huriye,199
Hülya,697
Hümeyra,549
Irmak,794
İkra,290
İkra Nur,99
İkranur,407
İlayda,755
İlknur,2143
İnci,183
İpek,1772
İrem,777
Kader,1174
Kadriye,1090
Kamile,95
Kardelen,619
Kevser,491
Kezban,90
Keziban,404
Kıymet,182
Kumsal,309
Kübra,1061
Leyla,1054
Lina,286
Lütfiye,83
Makbule,81
Masal,351
Medine,1702
Mehtap,992
Melahat,119
Melek,1472
Meliha,90
Melike,1404
Melis,960
Melisa,762
Meltem,799
Meral,845
Merve,496
Meryem,818
Meva,158
Mihriban,293
Mila,179
Mina,577
Mine,736
Mira,470
Miray,264
Münevver,184
Müzeyyen,98
Naciye,141
Naime,99
Narin,175
Naz,160
Nazar,75
Nazife,145
Nazlı,2920
Nazlıcan,241
Nazmiye,181
Nebahat,157
Necla,785
Nefes,121
Nehir,337
Neriman,180
Nermin,270
Neslihan,1268
Nesrin,449
Neşe,452
Nevin,159
Nezahat,100
Nihal,586
Nil,292
Nilgün,80
Nilüfer,97
Nimet,179
Nisa,609
Nisa Nur,887
Nisanur,388
Nuran,100
Nuray,976
Nurcan,1275
Nurgül,919
Nuriye,138
Nurten,440
Öykü,571
Özge,1476
Özlem,893
Öznur,1822
Pakize,77
Pelin,515
Perihan,630
Pınar,1252
Rabia,1726
Rahime,210
Ravza,633
Raziye,79
Remziye,441
Reyhan,609
Reyyan,99
Rojin,324
Rukiye,1847
Rumeysa,1243
Rümeysa,1490
Saadet,214
Sabriye,88
Safiye,176
Saliha,291
Saniye,121
Sare,396
Satı,72
Sebahat,139
Seda,893
Sedanur,393
Sedef,264
Seher,1896
Selda,772
Selin,1751
Selma,879
Sema,1532
Semanur,1001
Semiha,179
Semra,806
Sena,1348
Serap,925
Serpil,781
Serra,181
Seval,113
Sevcan,88
Sevda,1252
Sevgi,1414
Sevil,273
Sevim,866
Sıla,547
Sibel,921
Simay,278
Simge,352
Sinem,1722
Songül,1278
Sude,508
Sude Naz,416
Sudenaz,463
Sudenur,501
Sultan,1581
Suna,93
Sümeyye,1074
Şaziye,91
Şenay,347
Şengül,335
Şerife,1207
Şevval,721
Şeyda,378
Şeyma,1849
Şilan,100
Şule,500
Şükran,1297
Şükriye,155
Tansu,193
Tuana,800
Tuba,1384
Tuğba,1323
Tuğçe,1062
Tülay,994
Tülin,68
Türkan,670
Umay,96
Yağmur,917
Yaren,1013
Yasemin,1253
Yeliz,680
Yeşim,530
Yeter,345
Yıldız,815
Yüksel,80
Yüsra,329
Zahide,66
Zehra,834
Zekiye,152
Zeliha,2009
Zerda,86
Zeynep,167
Zilan,179
Zübeyde,733
Züleyha,230
Zümra,311
