Doğum tarihine göre en çok kullanımda olan kadın isimleri ve ilk 100 isim içindeki sıralaması, 1950-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The most used woman names by the year of birth and order in the first hundred names, 1950-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ad-Name;Doğum yılı-Year of birth;;;;;;;;;;;;;;;Doğum yılı-Year of birth;;;;;;;;;;;;;;;Doğum yılı-Year of birth;;;;;;;;;;;;;
;1950;1960;1970;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;71;65;60;52;24;35;34;59;49;45;28
Ahsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;51;43;51
Aleyna;;;;;;;;;;;;;;;;;;;;;65;25;19;16;16;16;15;14;14;21;24;42;42;57;66;;;;;;;;;
Aliye;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;84;46;19;22;22
Amine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;73;71;62;53
Arife;80;73;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;;;;;
Arya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;85;53;36
Arzu;;;62;14;16;18;20;20;28;38;37;39;43;50;53;58;57;62;67;73;75;75;76;76;85;93;;;;;;;;;;;;;;;;;;
Asel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;18;8;4;4
Asiye;24;25;47;73;73;83;91;89;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aslı;;;;49;64;57;56;56;55;70;68;78;75;82;59;59;60;60;56;72;62;52;70;78;57;62;65;72;78;74;83;82;98;98;97;;85;93;;;;;;
Aslıhan;;;;;;;;;;;;;;;;92;76;87;94;;;;;;;;;;;;;;;;;;;;;;;89;;
Asmin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;35;49;65;72;66;48;55;61;70;93
Asya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;51;41;44;38;27;15;14;14;11;8;9
Aybüke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;90;80
Ayfer;;91;42;62;65;70;78;83;87;93;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aylin;;;;;;;;;;;;;;;100;95;91;92;;;;;;;;;;;;;;;;;81;89;100;;;;;;;
Aynur;67;17;7;22;26;31;38;40;45;45;56;59;60;73;74;79;83;85;89;89;91;;;;;;;;;;;;;;;;;;;;;;;
Aysel;31;8;8;28;33;40;43;43;47;46;40;22;33;41;55;60;67;81;86;95;;;;;;;;;;;;;;;;;;;;;;;;
Aysima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;67;63;68;56;48;34;26;34
Aysun;;;97;56;54;56;57;63;72;73;69;71;58;63;70;75;80;94;100;;;;;;;;;;;;;;;;;;;;;;;;;
Ayşe;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;4;6;6;7;8;8;8;7;8;7;10;9;13;14;17;15;21;16;19;21;19;22;23;22;28;28;29;33
Ayşe Nur;;;;;;;;;;;;;;;;;;;93;84;69;65;66;73;73;78;85;97;99;89;;;;;;;;;;;;;;
Ayşegül;;;86;31;31;32;29;25;26;20;21;24;29;29;28;26;27;26;28;29;32;34;34;32;33;28;36;38;42;39;35;44;43;50;51;48;55;53;49;58;68;79;86;84
Ayşenur;;;;;;;;;;;;;;;;100;84;53;44;35;28;24;27;26;26;26;37;37;36;36;41;47;56;59;58;62;66;66;69;74;98;;;
Ayten;37;14;18;55;57;62;79;75;91;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azra;;;;;;;;;;;;;;;;;;;;;;;;;;;72;46;41;46;43;29;30;12;6;5;6;7;8;6;10;13;5;5
Bahar;;;;;93;78;75;60;46;41;46;54;37;33;30;27;23;30;29;30;33;44;42;49;60;45;34;43;62;77;77;70;82;81;86;68;80;82;76;79;81;87;91;89
Bedriye;70;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
