Name,count.female
Aaban,0
Aabha,12
Aabid,0
Aabriella,5
Aadam,0
Aadan,0
Aadarsh,0
Aaden,5
Aadesh,0
Aadhav,0
Aadhavan,0
Aadhira,6
Aadhya,218
Aadhyan,0
Aadi,10
Aadil,0
Aadin,0
Aadish,0
Aadison,11
Aadit,0
Aadith,0
Aaditri,10
Aaditya,0
Aadiv,0
Aadon,0
Aadrian,0
Aadrit,0
Aadvik,0
Aadya,289
Aadyn,16
Aafreen,5
Aagam,0
Aage,0
Aagot,5
Aahaan,0
Aahan,0
Aahana,272
Aahil,0
Aahliyah,24
Aahna,46
Aahron,0
Aaidan,0
Aaiden,0
Aaidyn,0
Aaila,6
Aailiyah,10
Aailyah,157
Aaira,35
Aairah,14
Aaisha,159
Aaishah,18
Aaiyana,5
Aaiza,5
Aaja,5
Aajah,29
Aajaylah,20
Aajon,0
Aakanksha,5
Aakarsh,0
Aakash,0
Aakeem,0
Aakilah,18
Aakira,5
Aakiyah,5
Aakriti,14
Aala,48
Aalaiya,7
Aalaiyah,21
Aalana,31
Aalanah,10
Aalani,20
Aalap,0
Aalaya,90
Aalayah,478
Aalayiah,7
Aalayjah,6
Aalayna,15
Aalaysha,17
Aalaysia,87
Aaleah,181
Aaleahya,8
Aaleeya,5
Aaleeyah,70
Aaleigha,117
Aaleiyah,18
Aalexis,20
Aalexus,6
Aaleya,10
Aaleyah,542
Aalia,258
Aaliah,706
Aalias,0
Aaliayah,118
Aaliayh,47
Aalicia,5
Aaliha,12
Aalijah,84
Aalim,0
Aalina,20
Aalisha,22
Aalivia,30
Aaliya,845
Aaliyah,59716
Aaliyaha,21
Aaliyahmarie,16
Aaliyahrose,5
Aaliyan,89
Aaliyana,75
Aaliyha,389
Aaliyiah,31
Aalliyah,156
Aallyah,5
Aalok,0
Aalon,0
Aalya,16
Aalyah,553
Aalycia,25
Aalyha,19
Aalyia,5
Aalyiah,594
Aalysia,6
Aalyssa,104
Aalyvia,5
Aamanda,10
Aamani,108
Aamar,0
Aamari,56
Aamarion,0
Aamaya,5
Aamber,14
Aamena,10
Aamer,0
Aamia,11
Aamil,0
Aamilah,13
Aamina,200
Aaminah,218
Aamir,0
Aamira,153
Aamirah,116
Aamiya,31
Aamiyah,255
Aamna,171
Aamoni,10
Aamori,81
Aamya,116
Aamyah,40
Aana,7
Aanand,0
Aanav,0
Aanchal,67
Aania,31
Aaniah,33
Aanijah,5
Aanika,185
Aanisah,39
Aaniya,223
Aaniyah,888
Aansh,0
Aanshi,23
Aanvi,48
Aanya,1438
Aanyah,71
Aapri,5
Aaqib,0
Aaqil,0
Aara,27
Aarabella,5
Aaradhana,5
Aaradhya,38
Aaralyn,779
Aaralynn,158
Aaran,0
Aaraon,0
Aaratrika,5
Aarav,0
Aaren,282
Aareon,10
Aareona,7
Aaria,93
Aariah,125
Aarian,27
Aariana,301
Aarianna,144
Aarib,0
Aaric,0
Aarica,95
Aarick,0
Aariel,138
Aarielle,13
Aarik,0
Aarika,678
Aarilyn,60
Aarin,290
Aarini,35
Aarion,128
Aariona,209
Aarionna,115
Aaris,16
Aarish,0
Aarit,0
Aariv,0
Aariya,40
Aariyah,208
Aariyana,60
Aariyanna,14
Aariyona,5
Aariyonna,5
Aariz,0
Aarjav,0
Aarn,0
Aarna,515
Aarnav,0
Aarnavi,10
Aarne,0
Aaro,0
Aarohan,0
Aarohi,117
Aaron,4194
Aarona,5
Aaronae,5
Aaronda,5
Aaronette,11
Aaronisha,6
Aaronjacob,0
Aaronjames,0
Aaronjohn,0
Aaronjoseph,0
Aaronjosh,0
Aaronjoshua,0
Aaronlee,0
Aaronmichael,0
Aaronn,0
Aaroosh,0
Aarren,0
Aarron,0
Aarsh,0
Aarshi,5
Aarshiya,5
Aarthi,104
Aarti,421
Aarush,0
Aarushi,502
Aarvi,13
Aarya,606
Aaryah,25
Aaryan,0
Aaryana,76
Aaryanna,178
Aaryav,0
Aaryn,794
Aaryon,0
Aaryona,5
Aasha,226
Aashana,5
Aashay,0
Aashi,337
Aashia,6
Aashika,38
Aashini,5
Aashir,0
Aashirya,5
Aashish,0
Aashita,6
Aashiyana,5
Aashka,101
Aashna,465
Aashni,33
Aashrita,21
Aashrith,0
Aashritha,81
Aashvi,82
Aasia,175
Aasim,0
Aasin,0
Aasir,0
Aasiya,106
Aasiyah,309
Aason,0
Aastha,234
Aathan,0
Aatif,0
Aatish,0
Aava,48
Aavah,6
Aaven,0
Aavi,0
Aavin,0
Aavion,0
Aavyn,5
Aaya,38
Aayaan,0
Aayah,24
Aayan,0
Aayana,90
Aayanah,10
Aayanna,38
Aayat,23
Aaydan,0
Aayden,5
Aayla,222
Aaylah,27
Aayliah,58
Aayush,0
Aayushi,164
Aazan,0
Aazim,0
Aaziyah,9
Ab,0
Aba,22
Abaan,0
Abad,0
Abagael,205
Abagail,5082
Abagaile,15
Abagale,340
Abagayle,317
Abaigael,13
Abaigail,10
